timestamps,X,Y,Z,Marker0
1570562720.189,-0.005,-0.144,0.985,0
1570562720.209,-0.008,-0.145,0.982,0
1570562720.229,-0.010,-0.148,0.979,0
1570562720.248,-0.007,-0.147,0.970,0
1570562720.268,-0.002,-0.146,0.980,0
1570562720.288,-0.001,-0.143,0.984,0
1570562720.307,-0.010,-0.146,0.985,0
1570562720.327,-0.014,-0.146,0.979,0
1570562720.347,-0.014,-0.144,0.975,0
1570562720.367,-0.015,-0.144,0.980,0
1570562720.386,-0.013,-0.144,0.981,0
1570562720.406,-0.009,-0.144,0.982,0
1570562720.426,-0.013,-0.145,0.984,0
1570562720.446,-0.012,-0.146,0.982,0
1570562720.465,-0.011,-0.148,0.978,0
1570562720.485,-0.008,-0.146,0.977,0
1570562720.505,-0.005,-0.144,0.982,0
1570562720.524,-0.006,-0.142,0.982,0
1570562720.544,-0.012,-0.142,0.981,0
1570562720.564,-0.017,-0.141,0.983,0
1570562720.584,-0.020,-0.141,0.976,0
1570562720.603,-0.014,-0.139,0.973,0
1570562720.623,-0.013,-0.137,0.996,0
1570562720.643,-0.021,-0.139,0.973,0
1570562720.662,-0.009,-0.141,0.976,0
1570562720.682,-0.010,-0.144,0.975,0
1570562720.702,-0.002,-0.143,0.978,0
1570562720.722,0.003,-0.143,0.978,0
1570562720.741,0.003,-0.143,0.980,0
1570562720.761,0.007,-0.142,0.985,0
1570562720.781,0.003,-0.142,0.993,0
1570562720.801,-0.005,-0.145,0.983,0
1570562720.820,-0.006,-0.146,0.974,0
1570562720.840,-0.004,-0.147,0.980,0
1570562720.860,0.002,-0.143,0.984,0
1570562720.879,0.007,-0.138,0.982,0
1570562720.899,0.005,-0.140,0.987,0
1570562720.919,-0.005,-0.144,0.989,0
1570562720.939,-0.002,-0.142,0.976,0
1570562720.958,-0.012,-0.145,0.966,0
1570562720.978,-0.012,-0.149,0.977,0
1570562720.998,-0.016,-0.152,0.979,0
1570562721.017,-0.006,-0.148,0.980,0
1570562721.037,-0.010,-0.147,0.983,0
1570562721.057,-0.009,-0.150,0.985,0
1570562721.077,-0.001,-0.146,0.976,0
1570562721.096,0.011,-0.145,0.977,0
1570562721.116,0.017,-0.142,0.980,0
1570562721.136,0.027,-0.137,0.984,0
1570562721.155,0.026,-0.131,0.990,0
1570562721.175,0.021,-0.127,0.994,0
1570562721.195,0.014,-0.124,0.997,0
1570562721.215,0.005,-0.125,0.999,0
1570562721.234,0.004,-0.124,0.995,0
1570562721.254,0.012,-0.116,0.996,0
1570562721.274,0.015,-0.110,1.001,0
1570562721.294,0.019,-0.110,1.006,0
1570562721.313,0.016,-0.117,1.008,0
1570562721.333,0.020,-0.120,1.020,0
1570562721.353,0.027,-0.122,1.012,0
1570562721.372,0.037,-0.126,0.988,0
1570562721.392,0.045,-0.133,0.935,0
1570562721.412,0.082,-0.137,0.946,0
1570562721.432,0.110,-0.135,0.953,0
1570562721.451,0.128,-0.128,0.975,0
1570562721.471,0.141,-0.119,0.986,0
1570562721.491,0.147,-0.110,0.966,0
1570562721.510,0.153,-0.111,0.948,0
1570562721.530,0.169,-0.110,0.935,0
1570562721.550,0.194,-0.104,0.941,0
1570562721.570,0.207,-0.099,0.964,0
1570562721.589,0.212,-0.090,0.975,0
1570562721.609,0.221,-0.077,0.973,0
1570562721.629,0.217,-0.075,0.962,0
1570562721.649,0.217,-0.077,0.957,0
1570562721.668,0.222,-0.079,0.954,0
1570562721.688,0.224,-0.081,0.955,0
