timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1574374564.786,5.371,22.949,19.043,14.648,2.930,0
1574374564.790,23.438,39.551,18.066,26.855,25.879,0
1574374564.794,15.625,51.758,20.508,27.832,31.250,0
1574374564.798,11.230,49.316,26.367,24.902,17.578,0
1574374564.802,16.113,43.457,28.320,21.484,31.738,0
1574374564.806,23.438,40.039,26.855,19.043,25.391,0
1574374564.810,25.879,47.363,21.484,27.344,10.742,0
1574374564.813,30.273,48.828,23.926,35.645,40.039,0
1574374564.817,30.273,37.109,32.227,27.832,45.898,0
1574374564.821,32.715,38.086,30.762,22.949,38.086,0
1574374564.825,36.621,55.176,31.250,37.109,44.922,0
1574374564.829,34.180,61.523,27.832,48.340,54.688,0
1574374564.833,41.504,54.688,32.227,54.199,86.914,0
1574374564.837,45.898,52.246,35.645,59.082,61.035,0
1574374564.841,30.273,47.852,32.227,37.598,24.414,0
1574374564.845,24.414,41.992,32.715,24.902,35.645,0
1574374564.849,34.180,46.875,26.855,39.551,36.133,0
1574374564.853,33.203,58.594,24.414,45.898,29.785,0
1574374564.856,31.250,54.199,34.180,46.387,35.156,0
1574374564.860,37.109,40.527,32.715,49.316,39.062,0
1574374564.864,25.879,44.434,25.391,21.484,48.340,0
1574374564.868,29.297,47.852,27.832,4.395,44.922,0
1574374564.872,35.645,45.898,33.203,42.480,67.871,0
1574374564.876,29.785,41.504,25.391,42.969,77.637,0
1574374564.880,32.227,42.969,19.043,26.367,50.293,0
1574374564.884,34.668,40.039,22.461,43.945,71.777,0
1574374564.888,44.434,39.551,34.180,51.758,107.422,0
1574374564.892,59.082,62.988,56.641,58.105,93.750,0
1574374564.896,50.781,73.730,57.617,61.035,72.266,0
1574374564.899,44.922,61.523,43.457,52.246,89.355,0
1574374564.903,67.871,69.824,52.734,62.012,98.145,0
1574374564.907,68.359,76.660,69.336,62.012,85.449,0
1574374564.911,47.363,71.289,65.918,57.617,78.125,0
1574374564.915,52.734,73.242,61.035,55.664,82.520,0
1574374564.919,59.082,59.082,56.641,52.246,88.867,0
1574374564.923,57.129,53.223,53.223,59.082,83.008,0
1574374564.927,55.664,72.754,55.664,66.406,83.008,0
1574374564.931,54.688,81.055,61.035,70.801,72.266,0
1574374564.935,58.594,80.566,59.082,74.219,77.148,0
1574374564.938,62.012,84.473,56.641,73.730,79.590,0
1574374564.942,54.688,70.312,59.570,68.359,87.402,0
1574374564.946,46.875,53.223,54.688,62.500,82.520,0
1574374564.950,47.363,49.805,55.176,65.918,79.102,0
1574374564.954,53.223,60.059,50.293,53.223,54.199,0
1574374564.958,48.340,73.730,45.898,43.457,30.762,0
1574374564.962,38.574,73.730,52.734,55.664,38.086,0
1574374564.966,42.480,66.895,44.434,57.129,27.344,0
1574374564.970,47.852,64.453,48.340,60.059,17.090,0
1574374564.974,47.852,61.035,50.781,65.918,22.461,0
1574374564.978,53.711,63.477,53.223,65.430,36.621,0
1574374564.981,43.945,59.570,53.711,59.082,21.973,0
1574374564.985,22.461,41.504,49.805,55.664,7.812,0
1574374564.989,31.250,47.363,47.852,54.688,21.484,0
1574374564.993,42.969,49.316,41.504,44.434,7.324,0
1574374564.997,46.875,50.293,41.504,45.898,15.137,0
1574374565.001,56.152,62.012,48.340,57.617,29.785,0
1574374565.005,57.617,52.734,43.457,53.223,20.996,0
1574374565.009,49.316,46.875,27.832,51.270,22.949,0
1574374565.013,54.199,62.988,31.738,62.012,42.480,0
1574374565.017,61.035,61.035,43.457,70.801,56.152,0
1574374565.021,54.199,58.105,36.621,60.547,49.316,0
1574374565.024,45.898,70.312,33.203,62.988,49.316,0
1574374565.028,42.969,62.988,41.992,68.848,47.852,0
1574374565.032,48.340,52.246,51.270,62.012,54.199,0
1574374565.036,48.828,57.617,54.199,59.570,47.363,0
1574374565.040,48.340,61.035,46.387,55.664,43.945,0
1574374565.044,51.758,45.898,31.738,62.500,63.965,0
1574374565.048,51.270,32.227,25.391,57.129,55.664,0
1574374565.052,33.691,48.340,35.645,41.016,46.875,0
1574374565.056,37.598,62.500,35.156,37.598,72.754,0
1574374565.060,37.109,58.105,24.902,36.133,63.477,0
1574374565.063,25.391,44.922,25.879,41.992,31.250,0
1574374565.067,41.992,45.898,32.227,50.781,54.199,0
1574374565.071,41.504,49.805,32.715,51.270,53.711,0
1574374565.075,36.133,40.527,30.762,47.852,55.176,0
1574374565.079,41.992,46.387,39.062,45.898,106.445,0
1574374565.083,35.645,48.340,43.945,43.945,217.773,0
1574374565.087,51.758,52.734,38.086,47.363,424.805,0
1574374565.091,69.336,69.824,34.668,43.457,652.344,0
1574374565.095,59.082,60.547,34.180,28.320,804.688,0
1574374565.099,53.223,44.922,32.227,31.250,844.238,0
1574374565.103,47.363,45.410,31.738,15.137,674.316,0
1574374565.106,39.551,57.129,34.180,12.695,402.832,0
1574374565.110,31.738,59.082,38.574,53.223,103.516,0
1574374565.114,40.527,41.504,40.527,60.547,-98.633,0
1574374565.118,42.480,33.203,34.668,52.246,-187.500,0
1574374565.122,19.531,49.316,25.391,41.504,-271.973,0
1574374565.126,16.113,53.223,28.809,37.598,-257.812,0
1574374565.130,15.137,51.270,36.621,34.180,-242.676,0
1574374565.134,5.371,54.199,31.250,37.109,-194.336,0
1574374565.138,2.930,37.598,19.531,35.156,-138.184,0
1574374565.142,16.602,39.551,18.555,22.461,-129.395,0
1574374565.146,16.602,54.199,25.879,23.438,-110.352,0
1574374565.149,9.277,46.387,27.832,18.066,-73.730,0
1574374565.153,15.137,42.480,28.809,8.789,-83.496,0
1574374565.157,11.719,41.016,29.785,27.832,-101.074,0
1574374565.161,20.020,29.785,24.414,41.504,-64.941,0
1574374565.165,24.902,46.875,27.832,23.926,-49.316,0
1574374565.169,26.855,64.453,38.086,30.762,-50.781,0
1574374565.173,22.461,47.363,42.480,45.410,-44.922,0
1574374565.177,22.949,46.387,35.156,41.504,-30.273,0
1574374565.181,25.879,49.316,32.715,45.410,-30.762,0
1574374565.185,29.297,45.898,37.598,50.781,-25.879,0
1574374565.188,36.621,48.828,37.109,48.828,-30.273,0
1574374565.192,32.715,40.527,26.367,43.457,-23.438,0
1574374565.196,28.809,40.039,21.484,46.875,-5.371,0
1574374565.200,32.227,52.734,32.715,46.875,15.137,0
1574374565.204,29.297,37.598,32.715,24.414,0.488,0
1574374565.208,30.273,29.785,29.785,23.926,-27.832,0
1574374565.212,26.855,53.223,35.156,52.246,-12.695,0
1574374565.216,37.598,59.082,31.738,59.082,9.277,0
1574374565.220,49.316,53.711,33.691,54.199,13.184,0
1574374565.224,41.504,60.059,31.738,53.711,5.371,0
1574374565.228,45.410,62.500,35.645,60.059,22.461,0
1574374565.231,35.645,59.570,38.574,59.082,36.621,0
1574374565.235,18.555,44.922,36.133,44.922,25.879,0
1574374565.239,18.066,38.086,41.504,33.691,0.977,0
1574374565.243,21.484,43.945,26.855,38.574,-11.230,0
1574374565.247,16.602,51.758,23.438,40.039,7.324,0
1574374565.251,20.508,53.223,37.598,34.180,38.574,0
1574374565.255,35.156,43.457,35.645,24.414,36.621,0
1574374565.259,36.133,41.992,30.273,32.227,16.113,0
1574374565.263,27.832,47.852,32.715,33.203,6.348,0
1574374565.267,34.180,49.316,26.367,33.203,32.715,0
1574374565.271,37.598,45.898,28.320,45.898,51.758,0
1574374565.274,44.922,48.340,36.133,50.781,25.391,0
1574374565.278,52.246,55.176,35.156,53.223,41.016,0
1574374565.282,39.062,54.688,30.762,44.434,45.898,0
1574374565.286,39.551,55.664,27.832,37.109,45.898,0
1574374565.290,33.203,50.293,30.762,36.621,37.598,0
1574374565.294,28.809,47.363,35.156,37.598,32.227,0
1574374565.298,36.133,45.410,34.668,37.598,44.922,0
1574374565.302,36.621,42.480,31.738,46.875,62.500,0
1574374565.306,45.410,40.527,25.879,45.410,84.473,0
1574374565.310,38.086,43.457,31.250,47.852,86.914,0
1574374565.313,31.738,52.246,39.551,51.758,67.871,0
1574374565.317,36.621,53.711,38.086,35.645,71.289,0
1574374565.321,41.992,44.922,31.738,30.762,85.449,0
1574374565.325,40.039,46.387,18.066,47.852,62.012,0
1574374565.329,42.480,57.129,36.133,59.082,62.500,0
1574374565.333,36.133,51.270,45.898,54.199,84.961,0
1574374565.337,27.832,39.551,33.691,36.621,84.961,0
1574374565.341,31.738,34.668,29.785,32.227,99.609,0
1574374565.345,34.180,27.344,20.996,34.668,105.469,0
1574374565.349,41.504,42.480,23.926,30.762,104.980,0
1574374565.353,36.621,45.898,26.367,30.762,112.305,0
1574374565.356,20.996,34.180,19.531,31.738,92.285,0
1574374565.360,15.625,36.621,20.020,19.043,69.824,0
1574374565.364,28.320,46.875,27.832,30.273,104.492,0
1574374565.368,35.645,52.246,23.926,45.410,122.070,0
1574374565.372,29.785,47.852,18.555,29.297,109.863,0
1574374565.376,35.156,41.992,29.785,37.109,125.000,0
1574374565.380,40.039,38.086,26.367,55.664,118.164,0
1574374565.384,39.551,43.945,34.668,49.316,113.770,0
1574374565.388,37.109,62.012,51.758,45.898,123.047,0
1574374565.392,33.691,61.035,30.273,39.551,122.070,0
1574374565.396,34.180,46.875,17.090,37.598,111.816,0
1574374565.399,29.297,47.363,33.691,35.645,97.656,0
1574374565.403,19.043,53.711,44.434,35.156,115.234,0
1574374565.407,33.691,48.340,43.945,45.898,118.652,0
1574374565.411,53.711,45.898,39.062,28.320,82.031,0
1574374565.415,42.969,45.898,37.598,30.762,77.637,0
1574374565.419,32.715,46.875,31.738,51.758,83.496,0
1574374565.423,41.016,57.129,25.879,51.758,74.219,0
1574374565.427,43.457,65.430,38.086,60.059,56.152,0
1574374565.431,32.227,48.340,41.016,49.805,43.945,0
1574374565.435,41.016,30.762,40.527,43.945,25.879,0
1574374565.438,32.715,45.898,37.598,48.828,-7.812,0
1574374565.442,18.066,61.523,23.438,41.992,-2.441,0
1574374565.446,29.297,62.988,27.344,41.504,12.695,0
1574374565.450,39.062,60.059,42.480,46.875,8.789,0
1574374565.454,32.715,56.641,45.898,49.805,-15.625,0
1574374565.458,21.484,46.387,39.551,42.480,-39.062,0
1574374565.462,34.180,44.922,40.039,37.598,-39.551,0
1574374565.466,39.551,55.664,40.039,42.969,-25.391,0
1574374565.470,34.180,60.547,41.992,37.598,-27.344,0
1574374565.474,26.855,53.711,37.598,25.391,-43.457,0
1574374565.478,31.738,44.434,34.668,36.621,-28.320,0
1574374565.481,31.738,32.715,40.527,57.129,-11.230,0
1574374565.485,22.461,45.898,42.969,61.523,-8.301,0
1574374565.489,27.344,42.969,32.715,51.758,-29.297,0
1574374565.493,28.320,41.016,18.066,40.527,-32.227,0
1574374565.497,26.855,48.340,27.832,37.598,-18.066,0
1574374565.501,27.344,43.945,42.480,34.668,-23.926,0
1574374565.505,20.508,36.621,41.992,29.297,-25.879,0
1574374565.509,22.949,33.203,34.180,39.551,-8.789,0
1574374565.513,21.973,49.316,34.668,32.227,-10.254,0
1574374565.517,19.531,51.270,38.574,16.602,-6.348,0
1574374565.521,28.320,45.410,35.645,35.645,8.789,0
1574374565.524,26.367,41.504,31.738,41.992,-2.441,0
1574374565.528,24.902,31.250,29.297,32.715,-14.160,0
1574374565.532,24.414,36.133,16.602,28.320,-12.695,0
1574374565.536,21.973,55.176,9.766,32.715,3.418,0
1574374565.540,26.367,51.758,20.996,40.527,12.695,0
1574374565.544,30.762,45.410,29.297,46.387,6.348,0
1574374565.548,34.180,50.781,30.273,54.199,28.809,0
1574374565.552,32.227,46.875,35.645,57.617,24.414,0
1574374565.556,32.715,38.574,34.180,50.293,11.719,0
1574374565.560,30.762,41.992,28.809,34.668,26.367,0
1574374565.563,15.137,42.480,19.043,23.926,-2.930,0
1574374565.567,15.137,40.527,16.602,26.367,-14.160,0
1574374565.571,18.555,42.969,16.602,27.344,20.996,0
1574374565.575,26.367,29.297,25.391,31.738,25.879,0
1574374565.579,28.320,19.531,28.320,34.180,7.324,0
1574374565.583,26.367,49.316,22.949,37.598,-7.324,0
1574374565.587,20.996,49.316,31.250,22.461,0.000,0
1574374565.591,19.043,34.668,29.785,15.625,0.488,0
1574374565.595,29.297,47.363,31.250,40.039,12.207,0
1574374565.599,23.438,48.340,39.551,46.387,35.645,0
1574374565.603,22.461,44.434,32.227,39.062,31.250,0
1574374565.606,34.668,48.828,27.832,45.898,28.809,0
1574374565.610,29.785,49.805,32.227,43.945,28.809,0
1574374565.614,18.066,42.969,29.297,31.250,12.695,0
1574374565.618,24.902,43.457,32.227,34.668,21.973,0
1574374565.622,33.691,48.340,35.156,36.133,46.387,0
1574374565.626,29.785,39.062,32.715,38.086,46.875,0
1574374565.630,28.809,35.645,35.156,35.645,19.531,0
1574374565.634,30.273,49.316,36.133,29.785,30.273,0
1574374565.638,25.391,52.246,20.508,25.879,40.039,0
1574374565.642,29.785,52.246,19.043,42.969,32.715,0
1574374565.646,29.297,37.109,29.785,52.734,34.668,0
1574374565.649,22.949,26.855,37.598,49.805,20.508,0
1574374565.653,35.156,49.805,43.945,53.223,53.711,0
1574374565.657,44.922,59.082,41.504,55.664,90.332,0
1574374565.661,37.598,56.152,36.621,51.270,48.828,0
1574374565.665,31.738,53.711,40.039,44.434,10.254,0
1574374565.669,37.109,45.898,40.039,47.363,6.836,0
1574374565.673,38.574,45.410,24.902,48.828,23.438,0
1574374565.677,34.668,40.039,28.320,46.875,39.551,0
1574374565.681,31.738,25.391,47.363,49.316,31.738,0
1574374565.685,28.320,38.086,52.246,38.574,19.531,0
1574374565.688,25.879,60.547,35.156,34.180,35.156,0
1574374565.692,27.344,56.152,17.578,30.273,30.762,0
1574374565.696,33.691,49.316,23.926,25.879,36.133,0
1574374565.700,45.898,46.875,36.133,49.805,43.457,0
1574374565.704,44.434,52.246,39.551,55.664,31.738,0
1574374565.708,31.738,46.875,35.645,31.250,22.461,0
1574374565.712,27.832,42.969,25.879,25.879,25.879,0
1574374565.716,22.949,43.945,20.996,36.621,28.320,0
1574374565.720,26.855,39.551,30.273,41.504,50.781,0
1574374565.724,36.621,32.227,36.133,39.062,41.504,0
1574374565.728,28.809,37.109,30.273,31.738,21.973,0
1574374565.731,14.160,45.898,24.902,30.762,23.926,0
1574374565.735,20.996,48.828,24.414,33.691,25.391,0
1574374565.739,19.043,50.293,32.715,37.109,27.832,0
1574374565.743,10.254,33.691,35.645,33.203,15.137,0
1574374565.747,20.508,24.902,21.484,30.762,31.738,0
1574374565.751,26.855,30.762,22.461,32.227,32.715,0
1574374565.755,22.461,40.039,39.062,17.090,20.508,0
1574374565.759,20.020,50.293,42.969,10.254,36.133,0
1574374565.763,34.180,47.852,41.016,39.062,62.500,0
1574374565.767,31.738,44.434,38.086,41.016,65.918,0
1574374565.771,26.367,37.109,32.715,26.855,57.129,0
1574374565.774,34.180,48.340,42.480,42.969,68.848,0
